Artist	Album	Song	Duration	Explicit
DeVotchKa	How It Ends	You Love Me	4.033	0
A Hawk and a Hacksaw	The Way the Wind Blows	In the River	5.933	0
Fitz and The Tantrums	Songs for a Break Up, Volume 1	Winds of Change	4.083	0
Shook Twins	What We Do	What We Do	5.000	0
Mark Kozelek	Sings Christmas Carols	Away in a Manger	1.967	0
Imogen Heap	Sparks	You Know Where to Find Me	4.950	0
Daniel Johnston	Continued Story / Hi, How Are You	Walking the Cow	3.600	0
Patrick Watson	Adventures in Your Own Backyard	Strange Crooked Road	3.717	0
Mount Eerie	Clear Moon	(Something)	1.517	0
Sharon Van Etten	Tramp	Serpents	3.033	0
Ingrid Michaelson	Human Again	Do It Now	3.267	1
Jenny Lewis	The Voyager	Just One of the Guys	3.883	0
First Aid Kit	Stay Gold	Stay Gold	4.183	0
